property_type,region,area_m2,price_usd,state,lat,lon
apartment,Northeast,110.0,126968.0,,,
apartment,Northeast,105.0,218435.99,,,
apartment,Northeast,110.0,126968.0,,,
apartment,Northeast,105.0,218435.99,,,
apartment,Northeast,115.0,143543.65,,,
apartment,Northeast,115.0,143543.65,,,
apartment,Northeast,65.0,86219.8,,,
apartment,Northeast,74.0,109998.12,,,
apartment,Northeast,115.0,196592.39,,,
apartment,Northeast,110.0,131061.59,,,
apartment,Northeast,57.0,98296.19,,,
house,Northeast,182.0,102976.97,,,
apartment,Northeast,243.0,452474.56,,,
house,Northeast,115.0,93615.42,,,
house,Northeast,115.0,93615.42,,,
house,Northeast,159.0,109217.99,,,
house,Northeast,120.0,202833.42,,,
apartment,Northeast,58.0,76452.59,,,
apartment,Northeast,92.0,165387.25,,,
apartment,Northeast,77.0,140423.14,,,
apartment,Northeast,145.0,191131.49,,,
apartment,Northeast,90.0,99856.45,,,
apartment,Northeast,180.0,143543.65,,,
apartment,Northeast,203.0,265243.71,,,
apartment,Northeast,75.0,118579.54,,,
house,Northeast,110.0,218435.99,,,
apartment,Northeast,140.0,230918.05,,,
apartment,Northeast,210.0,343256.56,,,
apartment,Northeast,133.0,176777.13,,,
apartment,Northeast,130.0,112338.51,,,
apartment,Northeast,134.0,316732.19,,,
apartment,Northeast,120.0,186294.7,,,
apartment,Northeast,93.0,145103.91,,,
apartment,Northeast,70.0,123260.31,,,
apartment,Northeast,112.0,237159.08,,,
apartment,Northeast,168.0,343256.56,,,
apartment,Northeast,100.0,217811.89,,,
apartment,Northeast,105.0,113898.77,,,
apartment,Northeast,107.0,132621.85,,,
apartment,Northeast,72.0,124820.57,,,
apartment,Northeast,143.0,227797.54,,,
apartment,Northeast,90.0,124820.57,,,
apartment,Northeast,98.0,171628.28,,,
apartment,Northeast,78.0,98296.19,,,
apartment,Northeast,164.0,296448.85,,,
apartment,Northeast,164.0,296448.85,,,
apartment,Northeast,112.0,110778.25,,,
apartment,Northeast,70.0,87374.39,,,
house,Northeast,242.0,405666.85,,,
apartment,Northeast,70.0,118579.54,,,
apartment,Northeast,98.0,106097.48,,,
apartment,Northeast,154.0,436871.99,,,
apartment,Northeast,78.0,74892.34,,,
apartment,Northeast,87.0,156025.71,,,
house,Northeast,160.0,173600.15,,,
apartment,Northeast,104.0,88378.25,,,
apartment,Northeast,190.0,123260.31,,,
apartment,Northeast,250.0,378763.96,,,
apartment,Northeast,140.0,233571.11,,,
apartment,Northeast,215.0,394545.79,,,
apartment,Northeast,143.0,206741.99,,,
house,Northeast,220.0,126254.65,,,
apartment,Northeast,175.0,505018.62,,,
apartment,Northeast,130.0,205163.81,,,
apartment,Northeast,91.0,190541.0,,,
apartment,Northeast,128.0,454516.76,,,
apartment,Northeast,85.0,142036.48,,,
apartment,Northeast,99.0,230414.74,,,
apartment,Northeast,195.0,331418.47,,,
apartment,Northeast,55.0,78909.15,,,
apartment,Northeast,62.0,88378.25,,,
house,Northeast,120.0,83643.7,,,
apartment,Northeast,70.0,107657.74,,,
apartment,Northeast,110.0,171628.28,,,
apartment,Northeast,190.0,131061.59,,,
apartment,Northeast,54.0,98296.19,,,
apartment,Northeast,160.0,277725.76,,,
apartment,Northeast,80.0,117019.28,,,
apartment,Northeast,122.0,96735.94,,,
apartment,Northeast,80.0,117019.28,,,
apartment,Northeast,160.0,277725.76,,,
apartment,Northeast,54.0,98296.19,,,
apartment,Northeast,73.0,234038.56,,,
house,Northeast,120.0,106097.48,,,
apartment,Northeast,75.0,109217.99,,,
apartment,Northeast,90.0,130142.2,,,
apartment,Northeast,155.0,426109.46,,,
apartment,Northeast,90.0,130142.2,,,
apartment,Northeast,138.0,280846.28,,,
house,Northeast,220.0,171628.28,,,
apartment,Northeast,89.0,131061.59,,,
house,Northeast,250.0,240279.59,,,
apartment,Northeast,56.0,78012.85,,,
apartment,Northeast,56.0,78012.85,,,
apartment,Northeast,82.0,156025.71,,,
apartment,Northeast,115.0,156025.71,,,
apartment,Northeast,230.0,249641.14,,,
apartment,Northeast,230.0,249641.14,,,
apartment,Northeast,75.0,84253.88,,,
apartment,Northeast,75.0,84253.88,,,
apartment,Northeast,54.0,75828.49,,,
apartment,Northeast,80.0,124820.57,,,
house,Northeast,110.0,81133.37,,,
apartment,Northeast,135.0,202833.42,,,
apartment,Northeast,53.0,99856.45,,,
apartment,Northeast,72.0,102976.97,,,
apartment,Northeast,53.0,99856.45,,,
apartment,Northeast,72.0,102976.97,,,
apartment,Northeast,150.0,227797.54,,,
apartment,Northeast,95.0,143543.65,,,
apartment,Northeast,85.0,104537.22,,,
apartment,Northeast,132.0,215315.48,,,
apartment,Northeast,211.0,374461.71,,,
apartment,Northeast,132.0,215315.48,,,
apartment,Northeast,95.0,143543.65,,,
apartment,Northeast,85.0,104537.22,,,
apartment,Northeast,184.0,436871.99,,,
apartment,Northeast,172.0,305810.39,,,
apartment,Northeast,184.0,436871.99,,,
apartment,Northeast,90.0,171628.28,,,
apartment,Northeast,90.0,171628.28,,,
apartment,Northeast,106.0,162266.74,,,
